key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
MEME_OR_PHRASE_EXPLAINER__1,MEME_OR_PHRASE_EXPLAINER__1,48,16,0.3417,6.25,37.5,13,0.3583,23.08,38.46,12,0.3213,0.0,33.33,7,0.3466,0.0,42.86,,,0.3418
DEFAMATION_AND_SCANDAL__1,DEFAMATION_AND_SCANDAL__1,28,11,0.44,0.0,27.27,2,0.2111,0.0,0.0,11,0.3741,0.0,18.18,4,0.3219,0.0,0.0,,,0.3809
CLAIM_VERIFICATION__1,CLAIM_VERIFICATION__1,165,35,0.4936,2.86,11.43,8,0.4284,12.5,0.0,11,0.4445,0.0,18.18,111,0.4266,4.5,5.41,助手随机1k,0.067,0.4421
PERSON_RECENT_EVENT_LOOKUP__3,PERSON_RECENT_EVENT_LOOKUP__3,183,55,0.5095,9.09,30.91,49,0.5228,12.24,48.98,43,0.4557,2.33,23.26,36,0.3745,8.33,36.11,助手随机1k,0.1483,0.4738
PERSON_RECENT_EVENT_LOOKUP__2,PERSON_RECENT_EVENT_LOOKUP__2,138,39,0.4854,7.69,28.21,15,0.4712,6.67,26.67,35,0.6213,0.0,14.29,49,0.4063,10.2,6.12,助手随机1k,0.215,0.4903
WORK_CONTENT_RETRIEVAL__1,WORK_CONTENT_RETRIEVAL__1,42,25,0.5576,8.0,20.0,14,0.4048,14.29,0.0,1,0.2444,0.0,0.0,2,0.4383,0.0,0.0,2025搜索,,0.4935
PERSONNEL_EVENT_LOOKUP__1,PERSONNEL_EVENT_LOOKUP__1,220,114,0.6061,1.75,14.04,39,0.4949,0.0,46.15,6,0.4482,33.33,16.67,61,0.4246,4.92,22.95,助手随机1k,0.1815,0.5317
OUT_OF_DOMAIN_NON_PERSON__4,OUT_OF_DOMAIN_NON_PERSON__4,302,64,0.5666,3.12,43.75,59,0.5472,6.78,44.07,48,0.6522,2.08,4.17,131,0.516,4.58,16.79,助手随机1k,0.1362,0.5545
PERSON_ATTRIBUTE_LOOKUP__4,PERSON_ATTRIBUTE_LOOKUP__4,190,67,0.5979,2.99,1.49,43,0.6488,0.0,4.65,22,0.5341,4.55,0.0,58,0.4732,5.17,3.45,助手随机1k,0.1756,0.564
REVERSE_PERSON_RESOLUTION__1,REVERSE_PERSON_RESOLUTION__1,137,58,0.6408,5.17,22.41,34,0.6708,2.94,17.65,15,0.4825,0.0,0.0,30,0.3511,13.33,23.33,助手随机1k,0.3197,0.5675
OUT_OF_DOMAIN_NON_PERSON__3,OUT_OF_DOMAIN_NON_PERSON__3,129,66,0.5838,3.03,15.15,52,0.5547,3.85,9.62,8,0.6593,0.0,37.5,3,0.642,0.0,33.33,2026搜索,0.0291,0.5781
GROUP_ROSTER_ENUMERATION__2,GROUP_ROSTER_ENUMERATION__2,286,98,0.6454,4.08,34.69,82,0.6913,1.22,34.15,18,0.418,5.56,11.11,88,0.5066,10.23,9.09,助手随机1k,0.1847,0.6015
NAVIGATE_TO_PERSON_PAGE__1,NAVIGATE_TO_PERSON_PAGE__1,121,31,0.547,0.0,41.94,89,0.6745,2.25,50.56,1,0.1438,100.0,0.0,0,,,,2025搜索,0.1275,0.6375
RELATIONSHIP_AND_FAMILY_STATUS__3,RELATIONSHIP_AND_FAMILY_STATUS__3,184,72,0.6222,8.33,13.89,44,0.7187,2.27,6.82,26,0.7271,0.0,11.54,42,0.5339,2.38,7.14,助手随机1k,0.1932,0.64
OUT_OF_DOMAIN_NON_PERSON__2,OUT_OF_DOMAIN_NON_PERSON__2,322,178,0.6496,0.56,33.15,111,0.6444,0.9,38.74,19,0.5665,5.26,15.79,14,0.6471,0.0,42.86,2026搜索,0.0052,0.6428
PERSON_RECENT_EVENT_LOOKUP__1,PERSON_RECENT_EVENT_LOOKUP__1,30,27,0.6522,0.0,0.0,2,0.6678,0.0,0.0,1,0.3412,0.0,0.0,0,,,,2025搜索,,0.6429
