key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
1,人物资料查询,2026搜索,显著高于其余全部,6339,9982,63.504,53.553,3.702,3
1,人物资料查询,助手随机1k,显著低于其余全部,82,950,8.632,60.363,-34.138,3
44,习近平个人资料与讲话查询,2026搜索,显著高于其余全部,85,9982,0.852,0.423,0.013,3
55,肖战个人资料简介查询,2026搜索,显著高于其余全部,131,9982,1.312,0.127,0.639,3
34,名称含义查询,2025搜索,显著高于其余全部,491,9983,4.918,2.792,0.345,3
34,名称含义查询,助手随机1k,显著低于其余全部,8,950,0.842,3.899,-1.05,3
33,专名信息查询,2025搜索,显著高于其余全部,1210,9983,12.121,6.886,3.846,3
46,省级党委书记任免查询,2025搜索,显著高于其余全部,94,9983,0.942,0.017,0.319,3
40,查询人物背景与个人生活,2026搜索,显著低于其余全部,69,9982,0.691,4.043,-0.478,3
40,查询人物背景与个人生活,助手随机1k,显著高于其余全部,269,950,28.316,1.333,17.761,3
39,人名信息查询,助手头部1k,显著高于其余全部,38,889,4.274,1.826,0.947,3
39,人名信息查询,助手随机1k,显著低于其余全部,5,950,0.526,1.99,-0.37,3
36,人物角色资料查询,2025搜索,显著高于其余全部,316,9983,3.165,2.276,0.232,3
43,查询对象身份,2026搜索,显著低于其余全部,59,9982,0.591,1.489,-0.09,3
54,人物及机构基本信息查询,2026搜索,显著低于其余全部,43,9982,0.431,1.743,-0.163,3
54,人物及机构基本信息查询,助手随机1k,显著高于其余全部,92,950,9.684,0.753,3.718,3
16,鞠婧祎资料与送花影响力查询,2026搜索,显著高于其余全部,108,9982,1.082,0.068,0.416,3
58,查询人物身份与归属信息,2026搜索,显著低于其余全部,31,9982,0.311,0.871,-0.031,3
58,查询人物身份与归属信息,助手随机1k,显著高于其余全部,36,950,3.789,0.47,0.604,3
2,百度明星影响力查询,2026搜索,显著高于其余全部,350,9982,3.506,0.161,2.201,3
56,查询明星娱乐八卦动态,助手头部1k,显著高于其余全部,94,889,10.574,1.229,3.653,3
31,查询人物图片,2026搜索,显著低于其余全部,64,9982,0.641,1.015,-0.017,3
41,查询人物个人资料简历,2026搜索,显著高于其余全部,134,9982,1.342,0.617,0.342,3
57,特定对象重要成果与相关条目列举查询,助手随机1k,显著高于其余全部,115,950,12.105,0.182,8.59,3
61,人物年龄及属性查询,助手随机1k,显著高于其余全部,27,950,2.842,0.34,1.548,3
49,领导班子成员名单查询,助手随机1k,显著高于其余全部,12,950,1.263,0.422,0.263,3
59,查询个人背景与任职信息,助手随机1k,显著高于其余全部,95,950,10.0,0.235,7.796,3
52,七一勋章获得者信息查询,2026搜索,显著高于其余全部,87,9982,0.872,0.025,0.251,3
