快照,层级,n,类目数,有效类目数,熵,HHI,首位类目,首位占比%,前3占比%,前5占比%,前10占比%,前10流量占比%,前10流量摆动pp,前10流量占比%低,前10流量占比%高,流量有效n
2025搜索,自上而下 L1 意图,9983,18,3.57,1.2737,0.4966,裸名人物身份识别,69.25,85.57,90.71,97.36,98.35,0.0,98.35,98.35,79.1
2026搜索,自上而下 L1 意图,9982,19,4.65,1.5364,0.3396,裸名人物身份识别,49.61,83.06,88.08,96.4,97.15,0.0,97.15,97.15,518.6
助手头部1k,自上而下 L1 意图,889,19,5.78,1.7535,0.3244,裸名人物身份识别,54.67,73.0,83.69,94.26,94.51,0.09,94.43,94.51,222.1
助手随机1k,自上而下 L1 意图,950,17,11.17,2.413,0.1048,垂类外非人物查询,18.95,41.89,62.11,93.05,94.43,0.0,94.43,94.43,156.7
2025搜索,自上而下 L2 子意图,9983,35,8.91,2.187,0.2005,BARE_NAME_IDENTITY_LOOKUP__2,35.55,69.25,80.03,88.46,92.14,0.0,92.14,92.14,79.1
2026搜索,自上而下 L2 子意图,9982,36,10.66,2.3668,0.1478,BARE_NAME_IDENTITY_LOOKUP__2,25.92,60.24,79.47,87.62,89.36,0.0,89.36,89.36,518.6
助手头部1k,自上而下 L2 子意图,889,32,13.25,2.5843,0.1313,BARE_NAME_IDENTITY_LOOKUP__2,29.13,54.67,64.9,80.65,81.74,0.0,81.74,81.74,222.1
助手随机1k,自上而下 L2 子意图,950,30,18.95,2.9421,0.0673,OUT_OF_DOMAIN_NON_PERSON__4,13.79,34.74,47.26,70.63,61.73,0.0,61.73,61.73,156.7
2025搜索,自下而上 家族,9983,35,6.26,1.834,0.362,人物资料查询,58.45,75.49,80.8,87.55,88.69,0.0,88.69,88.69,79.1
2026搜索,自下而上 家族,9982,35,5.76,1.751,0.4136,人物资料查询,63.5,74.46,79.88,87.49,84.82,0.0,84.82,84.82,518.6
助手头部1k,自下而上 家族,889,32,8.61,2.1527,0.2432,人物资料查询,46.57,64.34,73.34,87.63,87.14,0.92,87.14,88.06,222.1
助手随机1k,自下而上 家族,950,30,12.05,2.4894,0.1303,查询人物背景与个人生活,28.32,50.42,68.74,87.89,88.69,0.0,88.69,88.69,156.7
2025搜索,自下而上 叶,9983,35,6.26,1.834,0.362,人物资料查询,58.45,75.49,80.8,87.55,88.69,0.0,88.69,88.69,79.1
2026搜索,自下而上 叶,9982,36,5.9,1.7748,0.413,人物资料查询,63.5,73.9,78.44,86.18,83.58,0.0,83.58,83.58,518.6
助手头部1k,自下而上 叶,889,32,8.61,2.1527,0.2432,人物资料查询,46.57,64.34,73.34,87.63,88.06,0.92,87.14,88.06,222.1
助手随机1k,自下而上 叶,950,30,12.05,2.4894,0.1303,查询人物背景与个人生活,28.32,50.42,68.74,87.89,88.69,0.0,88.69,88.69,156.7
